index,q,powerloss,f,vout,iout,pa,prx,bty_temp,chnl,ce_pkg,rpp_pkg,ss_pkg,location
0,0.69,7695.29,132.96,17.25,1429.84,43.87,28.87,21.68,5.31,3.51,14.84,50.94,0
2,1.05,5507.92,141.29,16.98,1242.61,59.19,42.8,10.7,4.01,-27.59,20.97,246.86,0
3,1.59,475.65,137.89,16.38,1053.25,11.03,28.87,31.86,1.19,-63.91,29.55,99.43,1
4,0.88,9344.26,142.11,16.19,869.88,16.16,38.69,45.3,3.98,-96.23,42.8,178.67,1
5,0.76,8723.38,135.1,16.28,32.41,57.28,3.3,20.26,6.39,-56.76,24.67,217.64,1
6,0.57,4708.14,135.11,18.3,520.98,2.52,55.13,44.82,3.29,80.54,18.2,77.68,0
9,1.06,1946.05,136.49,18.77,2404.46,49.84,21.21,17.67,5.5,108.54,43.23,114.64,1
10,0.49,2666.23,145.96,16.85,2117.76,64.47,24.22,43.85,4.45,47.82,47.5,70.99,1
11,1.02,6275.58,145.21,15.7,907.72,13.84,58.41,15.08,0.27,82.63,38.8,194.83,0
13,1.67,9348.21,132.82,15.32,1893.91,47.67,42.25,40.46,4.61,-114.43,54.19,79.02,0
14,1.98,5253.76,137.71,16.83,1602.9,16.48,25.29,28.64,7.99,58.85,15.01,12.03,0
16,1.47,7188.14,145.82,17.59,1021.3,55.82,49.06,34.16,1.08,-20.97,41.43,51.02,1
17,0.9,9028.97,145.24,18.9,1368.22,16.37,1.67,13.74,3.87,-56.05,12.46,155.01,0
19,0.62,9317.66,145.68,17.58,483.73,13.02,32.78,40.65,5.96,-60.06,13.13,152.4,0
20,0.6,2485.25,135.64,18.09,53.48,25.85,56.15,17.4,1.65,72.26,18.57,195.44,1
21,1.87,5227.46,139.4,17.58,645.54,57.59,0.07,13.43,7.2,14.17,10.04,10.86,1
26,0.13,2613.36,131.98,17.11,2028.61,19.65,45.14,26.95,1.68,84.19,52.75,58.06,1
27,0.92,1281.37,145.97,18.51,602.79,11.52,54.65,4.02,0.2,29.4,50.86,154.59,1
29,1.3,303.28,141.79,18.19,2160.4,7.01,37.18,21.36,1.5,0.12,39.27,209.43,0
30,0.03,4927.22,141.11,18.62,1358.81,10.3,18.63,39.33,4.44,104.13,44.36,106.13,1
31,0.79,1632.94,132.59,16.14,1908.66,42.54,35.8,8.67,7.03,87.35,39.52,199.86,0
32,0.46,5300.14,144.44,16.72,664.32,30.19,0.65,13.03,6.71,-62.26,55.23,132.58,0
33,0.63,3266.19,144.56,15.52,2132.17,1.64,35.3,15.82,3.22,6.28,17.85,193.0,0
34,1.31,7455.61,134.57,18.7,2491.76,28.86,15.39,48.62,0.56,53.28,32.27,47.84,1
36,0.35,5064.1,145.38,18.93,1725.53,34.96,52.34,48.18,2.94,-75.82,49.03,108.67,0
37,1.34,8244.42,142.01,18.78,1457.26,59.14,33.98,24.53,3.42,-0.99,33.53,181.16,0
38,1.2,8864.98,141.71,18.37,1612.52,0.07,48.9,7.25,6.54,117.67,61.89,150.61,1
39,0.83,5097.25,134.06,16.36,247.81,34.34,37.95,46.75,5.35,-48.06,60.78,108.03,1
40,0.37,7663.94,130.69,18.99,493.75,24.73,23.61,41.96,5.74,-79.5,6.14,234.63,0
41,1.97,8847.04,145.24,18.5,1701.65,51.68,38.97,49.87,3.8,-118.79,22.52,153.94,0
42,1.79,8251.75,136.8,16.44,428.75,38.71,44.29,13.2,4.45,-28.52,63.84,152.61,0
43,1.61,2739.98,137.42,16.93,652.64,28.54,22.33,17.86,3.74,106.81,28.82,56.75,1
44,0.96,7526.92,136.07,15.95,2280.35,4.76,1.18,22.62,5.78,90.7,2.87,164.8,1
45,0.81,1007.39,140.57,16.32,785.26,27.42,53.55,22.6,3.35,92.58,58.15,124.64,0
47,0.15,6156.48,132.15,16.69,1000.11,2.36,34.19,23.09,3.18,120.19,18.58,204.9,0
48,0.85,5598.72,135.04,17.46,1227.3,29.89,37.05,4.97,3.4,-102.64,46.45,85.96,1
49,1.33,2970.24,137.61,16.46,1239.16,0.5,0.49,45.73,4.54,-106.48,16.35,133.53,1
