index,q/qm,ploss,fre,vpa,papower,ch,ce,rppower,ss,label
2,149.07,7182.13,130.27,166750.47,52636.74,7.18,-100.37,20416.82,142.55,1
3,142.85,-7676.84,133.78,358046.0,56869.08,1.79,-118.42,8575.75,162.81,1
5,32.41,7406.75,139.7,167346.88,3628.09,7.15,-108.4,52907.06,131.24,1
7,120.8,-8267.27,139.37,343808.91,4818.37,7.79,17.19,45174.25,66.85,0
8,77.19,-3954.32,135.37,20229.85,34621.88,5.26,-67.05,5402.63,4.85,1
10,8.22,8694.9,138.64,295993.61,17490.81,4.11,78.5,44296.13,119.66,1
11,54.32,-8871.71,141.84,215869.75,31701.2,6.84,-125.84,1565.15,218.03,1
12,114.22,-8111.39,135.11,222973.93,57126.61,0.72,-12.24,23493.88,181.1,1
13,169.13,-6587.95,145.72,23116.54,9745.61,2.5,94.16,58140.87,4.73,0
14,39.1,2829.31,139.71,95454.51,31908.4,4.45,-40.02,38839.79,59.12,0
15,111.98,-9557.55,139.04,373431.79,64565.17,2.98,-88.61,33000.38,58.65,0
17,196.03,1060.3,143.06,194092.49,35003.15,2.69,-52.75,60226.73,24.08,0
18,137.2,898.38,136.27,241439.33,64874.22,5.1,18.84,23547.05,95.8,1
19,7.46,8554.65,132.97,337340.07,8717.19,1.89,-69.15,60776.07,62.24,1
20,161.41,-8945.41,130.94,129672.9,17031.16,7.66,-41.46,36382.85,163.19,0
21,2.14,220.27,140.72,336585.21,6053.51,7.48,118.12,9804.32,230.0,1
22,4.97,-3404.79,135.15,52238.14,42330.07,8.0,-75.1,57093.54,138.01,1
23,134.0,8269.97,139.43,81445.72,39709.63,2.2,-2.23,20985.98,95.26,1
26,108.73,5935.92,139.47,126260.3,12448.72,2.96,86.02,20680.89,155.27,1
27,165.57,3309.64,139.91,196356.8,26067.76,7.1,85.83,53506.26,62.16,0
28,100.32,-2050.18,140.16,351683.04,47018.29,6.45,2.23,41290.39,155.61,0
29,50.82,5672.1,141.25,274507.3,58366.79,1.89,52.4,23251.07,44.34,1
32,106.6,-7567.95,137.44,171170.74,49912.03,5.17,-21.34,21257.67,5.14,1
33,58.07,299.73,131.91,137158.26,30008.08,5.68,91.16,21578.75,239.64,0
34,187.6,8794.75,141.17,44620.55,57305.15,4.62,-104.05,35685.23,2.17,1
35,16.69,-198.89,132.71,103891.84,37994.29,1.9,-23.81,33812.82,44.14,1
36,81.54,5254.34,138.15,70268.99,60635.87,3.38,26.82,47753.18,214.94,0
37,148.25,-2028.46,143.52,153610.83,36185.54,4.08,-11.32,63292.58,184.1,1
39,76.47,-435.62,144.26,238757.46,64359.22,3.14,96.32,39653.37,67.14,0
40,12.68,-456.85,138.4,392603.01,44047.65,2.58,-26.47,63736.66,230.75,0
43,188.19,-4611.2,135.36,259529.01,45918.66,7.19,-72.34,53023.95,246.72,0
44,48.75,-8150.84,131.94,158942.37,42486.06,6.82,-15.51,33010.83,11.37,0
45,115.99,-8342.0,138.61,204984.87,45989.99,2.53,80.3,11669.19,139.06,1
47,55.74,7080.31,131.74,360039.45,34377.04,1.61,41.21,8803.75,78.36,0
48,12.09,-6965.58,140.64,338896.05,63858.4,6.46,82.16,31569.97,175.4,0
49,155.25,17.24,133.76,68327.55,40791.1,2.51,-54.36,56836.32,42.85,1
50,18.32,-948.68,134.98,39214.72,29487.74,7.63,79.68,18892.74,69.87,1
51,41.07,9263.8,136.67,175083.35,35541.27,2.75,-96.07,41524.45,88.72,0
52,187.53,-3346.37,145.84,325417.78,2666.39,7.12,-48.3,55010.6,153.66,1
